start,end,duration,app,day,profile
2014-01-02 00:15:00,2014-01-02 02:30:00,135.0,htpc,1,"[64.58064516129032, 68.03252032520325, 64.0241935483871, 63.78512396694215, 64.0725806451613, 64.8360655737705, 63.82786885245902, 64.12096774193549, 39.30645161290322]"
2014-01-02 10:00:00,2014-01-02 11:30:00,90.0,lcd_office,1,"[41.60714285714285, 41.67625899280576, 41.94285714285714, 41.66428571428571, 41.871428571428574, 40.88095238095238]"
2014-01-02 10:00:00,2014-01-02 11:30:00,90.0,hifi_office,1,"[9.007142857142858, 8.913669064748202, 8.75, 8.628571428571428, 8.407142857142857, 8.811764705882354]"
2014-01-02 10:00:00,2014-01-02 11:30:00,90.0,laptop,1,"[53.130434782608695, 38.72857142857143, 32.13669064748201, 30.49645390070922, 25.230215827338128, 22.12941176470588]"
2014-01-02 10:45:00,2014-01-02 13:00:00,135.0,htpc,1,"[31.418439716312054, 64.80575539568345, 66.38059701492537, 64.59055118110236, 63.82539682539682, 63.86178861788618, 63.93700787401575, 63.854838709677416, 60.27642276422764]"
2014-01-02 13:15:00,2014-01-02 13:30:00,15.0,microwave,1,[250.15625]
2014-01-02 14:00:00,2014-01-02 17:45:00,225.0,washing_machine,1,"[619.344262295082, 1885.8761061946905, 531.972972972973, 278.2079207920792, 101.375, 138.21052631578948, 200.0862068965517, 45.8, 1508.0336134453785, 1160.7094017094016, 442.2410714285714, 172.82242990654206, 99.72972972972973, 159.2622950819672, 167.65217391304347]"
2014-01-02 14:30:00,2014-01-02 18:00:00,210.0,kitchen_phone&stereo,1,"[36.968, 45.80952380952381, 40.7007874015748, 27.87804878048781, 28.032, 28.08730158730159, 28.53731343283582, 28.87313432835821, 28.740458015267176, 23.73282442748092, 17.0859375, 12.623076923076924, 9.658730158730158, 7.411290322580645]"
2014-01-02 16:15:00,2014-01-02 17:15:00,60.0,amp_livingroom,1,"[11.721804511278195, 23.85606060606061, 23.23846153846154, 22.3046875]"
2014-01-02 16:15:00,2014-01-02 23:00:00,405.0,subwoofer_livingroom,1,"[7.731343283582089, 15.954198473282442, 15.877862595419847, 16.00793650793651, 15.992248062015504, 15.96031746031746, 16.0, 15.944, 15.448, 15.444444444444445, 15.536, 15.24390243902439, 15.46031746031746, 15.818897637795276, 15.868852459016392, 15.53968253968254, 15.669354838709678, 15.857142857142858, 15.761904761904765, 15.75, 15.582677165354331, 15.768, 16.008, 16.128, 15.56, 15.471544715447154, 16.008]"
2014-01-02 16:15:00,2014-01-02 16:45:00,30.0,tv,1,"[49.86363636363637, 61.48837209302326]"
2014-01-02 16:15:00,2014-01-02 16:30:00,15.0,htpc,1,[32.69172932330827]
2014-01-02 17:00:00,2014-01-02 18:00:00,60.0,gas_oven,1,"[17.246031746031747, 46.66666666666666, 45.785714285714285, 13.39516129032258]"
2014-01-02 17:00:00,2014-01-02 17:15:00,15.0,tv,1,[52.81889763779528]
2014-01-02 17:00:00,2014-01-02 17:15:00,15.0,htpc,1,[34.8046875]
2014-01-02 19:15:00,2014-01-02 23:15:00,240.0,amp_livingroom,1,"[11.669291338582678, 23.811023622047244, 23.241935483870968, 22.984126984126984, 23.024193548387096, 22.968503937007878, 23.094488188976374, 23.0546875, 22.874015748031496, 23.096, 23.112, 23.088, 22.95967741935484, 22.943089430894307, 23.09523809523809, 6.146341463414634]"
2014-01-02 19:15:00,2014-01-02 23:15:00,240.0,tv,1,"[49.81102362204725, 105.96850393700788, 100.5725806451613, 97.3095238095238, 94.5, 100.06349206349206, 96.21428571428572, 96.728, 96.88976377952756, 96.064, 94.94354838709675, 92.26984126984128, 93.59677419354838, 97.08943089430896, 93.648, 26.887096774193548]"
2014-01-02 19:15:00,2014-01-02 23:15:00,240.0,htpc,1,"[31.96031746031746, 70.76984126984127, 68.54918032786885, 76.53191489361703, 68.3089430894309, 69.7007874015748, 72.90551181102362, 72.578125, 71.74015748031496, 73.712, 72.432, 72.648, 72.64516129032258, 72.54471544715447, 72.38888888888889, 22.0]"
2014-01-02 23:00:00,2014-01-03 01:00:00,120.0,dishwasher,1,"[37.3739837398374, 358.6904761904762, 1616.0615384615385, 119.94444444444444, 119.73809523809524, 110.9430894308943, 1881.679104477612, 812.007874015748]"
2014-01-03 07:15:00,2014-01-03 07:45:00,30.0,kitchen_radio,2,"[2.047244094488189, 2.008264462809917]"
2014-01-03 07:45:00,2014-01-03 12:00:00,255.0,lcd_office,2,"[40.87878787878788, 41.98550724637681, 41.539568345323744, 41.17518248175183, 41.34057971014493, 41.289855072463766, 40.89928057553957, 41.24817518248175, 41.33576642335766, 41.36764705882353, 41.78832116788321, 41.22627737226277, 40.838235294117645, 41.15714285714286, 41.460431654676256, 40.57553956834533, 40.51219512195122]"
2014-01-03 07:45:00,2014-01-03 12:00:00,255.0,laptop,2,"[58.0, 39.31654676258993, 29.62589928057554, 25.669117647058822, 22.07971014492753, 20.34057971014493, 19.280575539568343, 18.817518248175183, 17.751824817518248, 18.823529411764707, 19.554744525547445, 19.16058394160584, 23.08029197080292, 19.72463768115942, 23.06474820143885, 37.98571428571429, 18.385245901639344]"
2014-01-03 13:15:00,2014-01-03 15:15:00,120.0,amp_livingroom,2,"[6.9140625, 24.16, 23.32, 22.968, 22.944444444444443, 23.08, 23.03787878787879, 10.607692307692307]"
2014-01-03 13:15:00,2014-01-03 15:15:00,120.0,tv,2,"[28.765625, 113.85714285714286, 111.66935483870968, 96.9047619047619, 89.10317460317461, 89.25, 101.67175572519083, 44.9296875]"
2014-01-03 13:15:00,2014-01-03 15:15:00,120.0,htpc,2,"[20.173228346456693, 67.04761904761905, 68.376, 68.04032258064517, 65.4047619047619, 65.31147540983606, 67.5, 33.238461538461536]"
2014-01-03 13:30:00,2014-01-03 15:15:00,105.0,subwoofer_livingroom,2,"[16.128, 15.632, 15.42063492063492, 15.738095238095235, 16.0, 15.923664122137405, 7.576923076923077]"
2014-01-03 14:30:00,2014-01-03 16:30:00,120.0,washing_machine,2,"[130.0940170940171, 1963.101851851852, 719.0721649484536, 323.10280373831773, 123.57425742574256, 146.125, 158.075, 87.53781512605042]"
2014-01-03 16:15:00,2014-01-03 22:45:00,390.0,amp_livingroom,2,"[7.983739837398374, 23.784, 23.096774193548388, 23.008064516129032, 22.968503937007878, 23.07258064516129, 23.024, 22.944881889763774, 22.785714285714285, 22.91269841269841, 23.048387096774192, 23.131147540983605, 23.016129032258064, 23.008, 23.06766917293233, 23.00719424460432, 23.02857142857143, 23.0431654676259, 23.00719424460432, 23.0, 22.97841726618705, 23.042857142857144, 22.84251968503937, 22.96875, 22.991869918699187, 7.680327868852459]"
2014-01-03 16:15:00,2014-01-03 22:45:00,390.0,subwoofer_livingroom,2,"[5.2926829268292686, 15.984, 15.888, 15.774193548387096, 15.496062992125983, 15.910569105691057, 15.944, 15.8125, 15.46774193548387, 15.56, 15.983739837398376, 15.991869918699187, 15.967479674796747, 16.008, 16.0, 15.992805755395684, 16.12857142857143, 16.215827338129497, 15.94927536231884, 15.788321167883211, 15.571428571428571, 15.784172661870503, 15.6328125, 15.755905511811024, 15.878048780487806, 5.609756097560975]"
2014-01-03 16:15:00,2014-01-03 17:15:00,60.0,tv,2,"[32.28688524590164, 104.24193548387096, 99.616, 50.5]"
2014-01-03 16:30:00,2014-01-03 17:15:00,45.0,htpc,2,"[69.24, 67.592, 37.03252032520325]"
2014-01-03 19:15:00,2014-01-03 19:45:00,30.0,gas_oven,2,"[31.18032786885246, 32.801587301587304]"
2014-01-03 19:30:00,2014-01-03 22:45:00,195.0,tv,2,"[92.48, 94.22556390977444, 91.05755395683454, 97.45, 92.6978417266187, 92.76811594202898, 106.0072463768116, 104.07142857142856, 93.84892086330936, 99.203125, 101.06299212598424, 97.78861788617886, 29.40650406504065]"
2014-01-03 19:30:00,2014-01-03 22:30:00,180.0,htpc,2,"[67.1984126984127, 67.84848484848484, 68.65714285714286, 68.25179856115108, 68.41726618705036, 68.00719424460432, 69.97101449275362, 72.13669064748201, 69.11510791366906, 69.33858267716535, 67.83464566929133, 67.20325203252033]"
2014-01-03 19:45:00,2014-01-03 22:00:00,135.0,lcd_office,2,"[41.43243243243244, 41.22302158273381, 39.50714285714286, 39.32374100719424, 39.18115942028985, 39.26086956521739, 40.25, 41.10791366906475, 41.142857142857146]"
2014-01-03 19:45:00,2014-01-03 22:00:00,135.0,laptop,2,"[22.635135135135137, 17.41726618705036, 20.633093525179856, 19.751824817518248, 19.97122302158273, 34.30434782608695, 34.24460431654676, 22.53956834532374, 24.285714285714285]"
2014-01-03 21:15:00,2014-01-03 22:00:00,45.0,hifi_office,2,"[8.885714285714286, 8.683453237410072, 8.428571428571429]"
2014-01-04 02:30:00,2014-01-04 03:00:00,30.0,breadmaker,3,"[13.868852459016392, 9.558333333333334]"
2014-01-04 03:30:00,2014-01-04 04:15:00,45.0,breadmaker,3,"[7.278688524590164, 74.84426229508196, 62.32786885245902]"
2014-01-04 05:00:00,2014-01-04 08:15:00,195.0,breadmaker,3,"[15.10655737704918, 27.729508196721312, 70.97520661157024, 28.198347107438018, 46.7603305785124, 265.04918032786884, 509.0983606557377, 430.9262295081968, 364.0983606557377, 197.85245901639345, 122.35772357723576, 85.15447154471545, 67.10743801652893]"
2014-01-04 09:45:00,2014-01-04 10:30:00,45.0,coffee_machine,3,"[302.375, 99.54621848739497, 31.584]"
2014-01-04 10:30:00,2014-01-04 11:00:00,30.0,tv,3,"[27.1404958677686, 80.57723577235772]"
2014-01-04 10:45:00,2014-01-04 11:00:00,15.0,amp_livingroom,3,[19.827868852459016]
2014-01-04 10:45:00,2014-01-04 11:00:00,15.0,subwoofer_livingroom,3,[13.113821138211382]
2014-01-04 10:45:00,2014-01-04 11:00:00,15.0,htpc,3,[59.04918032786885]
2014-01-04 12:30:00,2014-01-04 13:15:00,45.0,gas_oven,3,"[23.214285714285715, 44.75806451612903, 42.40151515151515]"
2014-01-04 13:00:00,2014-01-04 15:00:00,120.0,washing_machine,3,"[873.6173913043478, 1704.6203703703704, 359.6551724137931, 269.5471698113208, 100.61290322580643, 172.3032786885246, 121.875, 26.454545454545453]"
2014-01-04 16:15:00,2014-01-04 17:15:00,60.0,laptop,3,"[51.770992366412216, 28.23308270676692, 13.731884057971014, 6.72463768115942]"
2014-01-04 17:00:00,2014-01-04 18:00:00,60.0,amp_livingroom,3,"[23.854014598540147, 23.057971014492757, 23.0546875, 15.36641221374046]"
