,start,end,duration,app,day,profile
0,2014-01-02 00:00:00,2014-01-02 02:30:00,150.0,htpc,1,"[7.991735537190083, 64.58064516129032, 68.03252032520325, 64.0241935483871, 63.78512396694215, 64.0725806451613, 64.8360655737705, 63.82786885245902, 64.12096774193549, 38.46774193548387]"
1,2014-01-02 09:00:00,2014-01-02 09:15:00,15.0,kettle,1,[471.5634920634921]
2,2014-01-02 09:15:00,2014-01-02 09:45:00,30.0,microwave,1,"[40.264, 65.1219512195122]"
3,2014-01-02 10:00:00,2014-01-02 11:30:00,90.0,hifi_office,1,"[9.007142857142858, 8.913669064748202, 8.75, 8.628571428571428, 8.407142857142857, 8.811764705882354]"
4,2014-01-02 10:00:00,2014-01-02 11:30:00,90.0,laptop,1,"[53.130434782608695, 38.72857142857143, 32.13669064748201, 30.49645390070922, 25.230215827338128, 22.12941176470588]"
5,2014-01-02 10:00:00,2014-01-02 11:30:00,90.0,lcd_office,1,"[41.60714285714285, 41.67625899280576, 41.94285714285714, 41.66428571428571, 41.871428571428574, 40.88095238095238]"
6,2014-01-02 10:00:00,2014-01-02 10:15:00,15.0,office_pc,1,[0.5142857142857142]
7,2014-01-02 10:45:00,2014-01-02 13:00:00,135.0,htpc,1,"[30.29078014184397, 64.80575539568345, 66.38059701492537, 64.59055118110236, 63.82539682539682, 63.86178861788618, 63.93700787401575, 63.854838709677416, 60.08130081300813]"
8,2014-01-02 13:15:00,2014-01-02 13:45:00,30.0,microwave,1,"[249.3203125, 38.952]"
9,2014-01-02 13:15:00,2014-01-02 13:30:00,15.0,toaster,1,[387.3937007874016]
10,2014-01-02 14:00:00,2014-01-02 17:45:00,225.0,washing_machine,1,"[618.2295081967213, 1885.8761061946905, 531.4954954954954, 277.1089108910891, 95.35416666666669, 136.09649122807016, 199.6034482758621, 44.46666666666667, 1506.781512605042, 1160.3846153846157, 441.5892857142857, 171.7196261682243, 94.24324324324324, 156.47540983606558, 166.37391304347827]"
11,2014-01-02 15:45:00,2014-01-02 16:00:00,15.0,subwoofer_livingroom,1,[3.3306451612903225]
12,2014-01-02 16:15:00,2014-01-02 17:15:00,60.0,amp_livingroom,1,"[11.721804511278195, 23.85606060606061, 23.23846153846154, 22.3046875]"
13,2014-01-02 16:15:00,2014-01-02 16:30:00,15.0,htpc,1,[31.59398496240601]
